x,y
1051,676
498,717
782,767
1049,663
1000,767
702,790
519,731
1810,1064
1266,819
1044,698
1007,727
764,743
1079,795
672,785
683,734
792,752
1208,800
1046,777
743,733
1060,736
1078,643
535,716
199,739
1011,785
1078,678
646,707
1127,811
544,745
826,726
1206,819
718,756
827,792
775,717
898,757
810,783
1018,690
241,725
834,773
1275,787
692,706
223,733
1028,675
644,733
716,707
917,879
1150,696
1268,738
611,712
482,736
598,761
799,771
725,790
1023,710
1097,702
856,714
1109,793
1085,663
1076,719
840,800
753,760
776,753
1150,799
757,783
1025,760
676,758
734,773
937,727
965,780
1092,686
1185,726
1218,713
672,702
519,756
223,745
1134,772
563,709
223,723
1025,743
667,719
1055,649
912,785
702,741
1069,697
877,784
1777,1043
1051,686
1141,788
831,745
1192,773
808,748
1120,827
1222,672
1095,772
986,797
521,744
241,741
553,729
819,767
1129,716
864,768
1233,696
748,706
1160,662
812,705
849,759
866,745
1220,727
470,246
1120,658
723,738
1088,820
1167,800
794,732
1058,711
1088,734
588,727
1180,810
1159,713
982,746
933,759
1044,725
452,744
827,758
1118,684
1099,713
1025,800
1141,669
850,785
1107,729
889,720
701,773
1188,682
1159,680
438,721
713,724
1196,699
1053,798
1113,642
917,704
1150,819
982,711
1178,831
