x,y
2730,1490
2653,1467
2858,1643
2069,1457
1904,1698
1937,1483
2708,1526
2928,1506
2671,1708
1790,1451
1897,1480
2400,2168
2587,1480
2168,1698
1981,1503
2084,1265
1611,1483
3783,1522
2822,1428
1310,1151
2777,1561
3310,1503
1563,1656
1699,1679
2748,1715
2135,1447
2627,1692
3390,1493
1519,1679
3163,1555
2205,1441
2678,1666
2565,1708
2524,1467
2620,1607
3867,1578
1519,1620
2855,1483
2447,1597
3930,1500
1622,1679
2260,1457
2469,2077
1930,1451
2506,1715
3581,1509
1838,1692
2433,1705
2326,2064
2411,1672
1566,1431
1555,1689
2293,1496
2352,1702
1387,1516
2715,1715
2007,1477
2091,1659
3133,1682
2223,1464
1688,1483
2682,1620
2433,1470
2781,1715
2220,2015
3559,1653
1974,1460
2807,1669
3680,1522
2814,1460
2605,1738
2477,1969
2260,1653
2510,2083
1585,1617
2352,2119
1482,1434
2528,1839
2521,1976
1992,1897
2154,1421
1467,1663
2546,1767
1787,1415
1908,1663
2634,2070
2308,1438
2025,1878
2183,1483
2568,2077
2543,2015
2579,1656
1831,1454
2521,1936
2884,1470
2667,1943
2370,1985
2381,1493
2447,2057
2238,1500
3042,1493
2719,1588
2917,1604
2209,1689
2833,1526
3827,1500
2741,1666
1001,1134
1493,1666
2510,2041
2344,2015
3122,1500
2601,1630
3155,1614
2172,1669
2623,2015
2543,2132
3266,1516
1743,1650
2124,1480
2667,2044
2355,1451
2469,1451
3629,1542
2333,1490
3200,1506
2495,2129
2568,1284
2730,1633
2003,1434
2201,1643
2792,1630
1126,1180
1772,1702
3724,1532
3867,1539
2477,1552
1269,1614
2800,1500
3765,1565
1886,1509
1445,1614
1647,1643
3823,1548
2433,2113
