x,y
2278,1659
2315,1121
3273,1620
2491,1216
1765,1291
1790,1092
2422,1304
1842,1167
1508,1548
1500,1940
2143,2165
1585,1842
1570,1979
2194,1248
2128,1878
1614,1565
1948,1314
1255,1871
1379,1252
1981,1698
1765,1209
1702,1891
2737,1773
2521,2122
2150,1816
1420,1754
2469,1852
2645,1643
2418,1698
2080,1076
1394,2236
2091,1757
2473,1630
2532,1800
1504,1291
1544,1356
2161,1767
1930,1757
1787,2181
1831,1431
1438,1865
2102,1108
1988,2142
2822,1780
1875,1682
1948,1121
1570,1183
2436,2178
2179,1408
1299,1483
2961,1698
2418,1946
1915,1467
1317,1933
1629,1483
3269,1698
2242,1800
2205,1848
1577,1108
1776,2106
1427,1969
1489,2142
1449,1565
1570,1923
2308,2106
1622,1327
1585,2253
2040,1385
2700,1695
1633,1956
1871,2161
1144,1764
2231,1656
2583,2178
1555,1490
1559,1790
1574,1418
2422,2005
1684,1734
1596,1747
1155,1513
2209,1164
1625,2210
1882,1004
1816,1522
1849,1268
1838,2533
2557,2067
2792,2168
1497,1473
1152,1897
1622,1239
2220,2132
3108,1597
3174,1656
1948,1858
1735,1845
2289,1304
3016,1597
2730,2122
2099,1816
1838,1356
1966,1467
2917,1588
2128,1724
2062,1692
2033,1786
1992,1630
1423,1438
1915,1226
2590,1363
2502,1708
2601,2119
1295,1421
2044,1861
2411,2090
1746,1777
2366,1627
1354,1858
1754,1356
2341,1692
2598,1731
2403,2559
1695,1098
2656,1803
2638,1216
2759,1646
2642,2083
2231,1747
1482,1193
2935,1777
1724,1434
2007,1470
1691,1819
1559,1552
2711,1200
3159,1747
1735,2520
1743,1604
1838,1754
2565,1646
2007,1059
2550,2181
2847,1633
1988,1813
1471,1395
2150,2077
1541,2194
1644,1786
1482,1800
2245,1350
1688,1275
1493,1627
2161,1943
2121,1154
1566,2139
1412,1486
1174,1956
1644,1395
2572,1157
2212,2556
2844,1705
1467,2236
2275,1229
2311,2005
2411,1777
1188,1643
1926,2233
2528,1372
2550,2005
1820,1614
1482,1118
1713,1519
1691,1353
2201,1095
3082,1698
1339,2585
2480,2041
1867,1829
2645,2135
2807,1558
2675,1128
1056,2250
1655,1692
1636,1881
2297,1855
1680,1173
1291,1206
2308,1747
1908,1164
2113,1222
2135,1320
1563,1275
1412,1659
1383,2589
2693,2207
1941,1402
2025,1170
1992,1239
2355,1265
1188,2220
3038,2086
2392,1164
1339,2204
1911,1601
2025,1741
2055,1278
1390,1138
2484,1151
2176,1698
1673,2155
